N;CICLO;CODIGO;CURSO;ESP;HT;HP;TH;CRD;REQUE
56;IX;APLA321;PRÁCTICAS PRE PROFESIONALES - PRODUCCIÓN;4;5;4;9;7;APLA316
57;IX;APLA322;RESTAURACIÓN DE OBRAS DE ARTE BIDIMENSIONAL;4;3;2;5;4;NINGUNO
58;IX;APLA323;MUSEOLOGÍA, CRÍTICA Y CURADURÍA DEL ARTE;4;4;0;4;4;NINGUNO
59;IX;APLA324;PROYECTOS ARTÍSTICOS Y CULTURALES;4;2;2;4;3;APLA317
60;IX;APLA325;INVESTIGACIÓN PLÁSTICA I;4;2;2;4;3;NINGUNO
61;IX;APLA326;IDENTIDAD VISUAL;4;2;2;4;3;APLA320
62;X;APLA327;RESTAURACIÓN DE OBRAS DE ARTE TRIDIMENSIONAL;4;3;2;5;4;APLA322
63;X;APLA328;PRÁCTICAS PRE PROFESIONALES - PROMOCIÓN;4;9;10;19;14;APLA321
64;X;APLA329;INVESTIGACIÓN PLÁSTICA II;4;4;0;4;4;APLA325
65;X;HUM223;INGLÉS;4;2;0;2;2;NINGUNO
66;X;APLA329;TRABAJO DE INVESTIGACIÓN;4;4;0;4;4;APLA325
