N;CICLO;CODIGO;CURSO;ESP;HT;HP;TH;CRD;REQUE
57;VIII;LLPF313;"TALLER DE COMUNICACION ESCRITA Y PRODUCCIÓN
EDITORIAL";039;4.0;2.0;6.0;5.0;LLPF311
58;IX;LLPF234;LINGUISTICA DEL TEXTO;039;3.0;2.0;5.0;4.0;NINGUNO
59;IX;LLPF235;LITERATURA REGIONAL;039;4.0;2.0;6.0;5.0;NINGUNO
60;IX;LLPF236;PSICOLINGUISTICA;039;2.0;2.0;4.0;3.0;NINGUNO
61;IX;LLPF237;PRACTICA DE UNIDADES DIDACTICAS;039;3.0;2.0;5.0;4.0;LLPF232
62;IX;LLPF238;EJECUCION DEL PROYECTO DE INVESTIGACION;039;3.0;2.0;5.0;4.0;LLPF233
63;IX;LLPF314;GESTIÓN Y ACREDITACIÓN EDUCATIVA;039;3.0;2.0;5.0;4.0;NINGUNO
64;X;LLPF239;ANALISIS DEL DISCURSO;039;3.0;2.0;5.0;4.0;NINGUNO
65;X;LLPF240;SISTEMAS FILOSOFICOS CONTEMPORANEOS;039;4.0;2.0;6.0;5.0;NINGUNO
66;X;LLPF241;SISTEMAS PSICOLOGICOS;039;3.0;2.0;5.0;4.0;NINGUNO
67;X;LLPF242;INFORME DE INVESTIGACION;039;3.0;2.0;5.0;4.0;NINGUNO
68;X;LLPF315;LEGISLACION EDUCATIVA;039;2.0;2.0;4.0;3.0;NINGUNO
69;X;LLPF316;PRACTICA DE INNOVACION Y ACREDITACIÓN;039;3.0;2.0;5.0;4.0;LLPF237
