CODIGO;CICLO;CURSO;ESP;HT;HP;TH;CRD;REQUE
TUR316;VIII;"SEMINARIO DE PROYECTOS PRODUCTIVOS PARA EL
TURISMO";00;3.0;2.0;5.0;4.0;NINGUNO
TUR317;VIII;GESTIÓN Y EMPRENDIMIENTO DE NEGOCIOS TURÍSTICOS;00;3.0;2.0;5.0;4.0;NINGUNO
TUR322;VIII;TALLER DE INNOVACIÓN TURÍSTICA;00;3.0;2.0;5.0;4.0;NINGUNO
TUR221;IX;SEMINARIO DE TESIS;00;3.0;2.0;5.0;4.0;NINGUNO
TUR318;IX;"SEMINARIO DE PROYECTOS DE INVERSIÓN PÚBLICA EN
TURISMO";00;3.0;2.0;5.0;4.0;NINGUNO
TUR319;IX;SEMINARIO DE COMPETITIVIDAD TURÍSTICA;00;3.0;2.0;5.0;4.0;NINGUNO
TUR320;IX;"SEMINARIO DE PROYECTOS DE INVERSIÓN PRIVADA EN
TURISMO";00;3.0;2.0;5.0;4.0;NINGUNO
TUR321;IX;PRÁCTICAS PRE PROFESIONALES I;00;2.0;6.0;8.0;5.0;TUR315
TUR225;X;TRABAJO DE INVESTIGACIÓN;00;3.0;2.0;5.0;4.0;NINGUNO
TUR323;X;GESTIÓN ESTRATÉGICA PARA EMPRESAS TURÍSTICAS;00;3.0;2.0;5.0;4.0;NINGUNO
TUR324;X;GESTIÓN PÚBLICA DEL TURISMO;00;3.0;2.0;5.0;4.0;NINGUNO
TUR325;X;INGENIERÍA DEL PRODUCTO TURÍSTICO;00;3.0;2.0;5.0;4.0;NINGUNO
TUR326;X;PRÁCTICAS PRE PROFESIONALES II;00;2.0;6.0;8.0;5.0;TUR321
