N;CICLO;CODIGO;CURSO;ESP;HT;HP;TH;CRD;REQUE
56;IX;MAT228;SEMINARIO DE TESIS I;014;4.0;2.0;6.0;5.0;HUM226
57;IX;MAT229;ANALISIS FUNCIONAL;014;4.0;2.0;6.0;5.0;MAT309
58;IX;MAT310;DIDACTICA DE LA MATEMATICA I;014;2.0;2.0;4.0;3.0;HUM226
59;IX;MAT311;VARIEDADES DIFERENCIALES;014;2.0;2.0;4.0;3.0;MAT306
60;IX;MAT312;ALGEBRA LINEAL APLICADA;014;2.0;2.0;4.0;3.0;MAT216
61;IX;MAT313;TOPICOS DE ECUACIONES DIFERENCIALES PARCIALES;014;2.0;2.0;4.0;3.0;MAT220
62;IX;MAT314;GEOMETRIA DIFERENCIAL II;014;2.0;2.0;4.0;3.0;MAT227
63;X;MAT315;PRACTICAS PRE PROFESIONALES;014;0.0;14.0;14.0;7.0;197.00
64;X;MAT316;SEMINARIO DE TESIS II;014;3.0;2.0;5.0;4.0;MAT228
65;X;MAT317;DIDACTICA DE LA MATEMATICA II;014;2.0;2.0;4.0;3.0;MAT310
66;X;MAT318;TOPICOS DE ALGEBRA;014;2.0;2.0;4.0;3.0;MAT209
67;X;MAT319;INTRODUCCION A LOS ELEMENTOS FINITOS;014;2.0;2.0;4.0;3.0;MAT216
68;X;MAT320;TOPICOS DE ANALISIS FUNCIONAL;014;2.0;2.0;4.0;3.0;MAT229
