N;CODIGO;CICLO;CURSO;ESP;HT;x;HP;TH;CRD;REQUE;A
;;IX;SEGURIDAD EN REDES DE COMPUTADORES;0;2;1;2;4;3;Null;
;9;IX;DINÁMICA DE SISTEMAS;0;2;1;2;4;3;Null;
;;IX;SEGURIDAD DE LA INFORMACIÓN Y GESTIÓN DE RIESGOS;0;2;1;2;4;3;Null;
;;IX;TALLER DE DESARROLLO DE SOFTWARE;0;4;1;2;6;5;Null;
;;IX;REDES MOVILES E INALÁMBRICAS;0;2;1;2;4;3;Null;
;9;IX;SISTEMAS LOGÍSTICOS;0;2;1;2;4;3;Null;
26;10;X;TRABAJO DE INVESTIGACIÓN;0;0;2;4;4;2;Null;
;10;X;PRÁCTICA PRE-PROFESIONAL II;0;0;2;4;4;2;;
;;X;MARKETING Y NEGOCIOS;0;2;1;2;4;3;;
;;X;NUEVOS MODELOS DE NEGOCIOS;0;2;1;2;4;3;;
;;X;PROGRAMACIÓN PARA COMPETICIÓN AVANZADO;0;2;1;2;4;3;;
;;X;GERENCIA DE PROYECTOS DE TECNOLOGÍAS DE LA INFORMACIÓN;0;4;0;0;4;4;;
;;X;EVALUACIÓN Y PRUEBAS DE SOFTWARE;0;4;0;0;4;4;;
;;X;GESTIÓN AVANZADA DE REDES DE COMPUTADORES Y SEGURIDAD;0;4;0;0;4;4;;
;;X;PLANIFICACIÓN ESTRATÉGICA DE TECNOLOGÍAS DE INFORMACIÓN;0;4;0;0;4;4;;
;;X;INTELIGENCIA DE NEGOCIOS;0;4;1;2;6;5;;
;;X;RUTEO Y MULTIPLEXACIÓN AVANZADA;0;4;1;2;6;5;;
;;X;PROYECTOS DE SOFTWARE II;0;4;1;2;6;5;;
;;X;TALLER DE IMPLEMENTACIÓN DE SISTEMAS DE INFORMACIÓN CORPORATIVOS;0;4;1;2;6;5;;
;;X;SISTEMAS DE INFORMACIÓN DISTRIBUIDOS;0;2;1;2;4;3;;
;;X;TÓPICOS AVANZADOS EN DESARROLLO DE SOFTWARE;0;2;1;2;4;3;;
;;X;TÓPICOS AVANZADOS EN REDES;0;2;1;2;4;3;;
;;X;REINGENIERÍA DE PROCESOS;0;2;1;2;4;3;;
;;X;MINERIA DE DATOS;0;2;1;2;4;3;;
;;X;INTEGRACION DE SISTEMAS DE SOFTWARE;0;2;1;2;4;3;;
;;X;GERENCIA DE PROYECTOS DE REDES Y TELECOMUNICACIONES;0;2;1;2;4;3;;
;10;X;ADMINISTRACIÓN DE OPERACIONES;0;2;1;2;4;3;;
