N;CODIGO;CICLO;CURSO;ESP;HT;x;HP;TH;CRD;REQUE;A
;;X;GESTIÓN DE PROYECTOS Y LEGISLACIÓN DE TELECOMUNICACIONES;0;3;1;2;5;4;;
;10;X;ROBÓTICA INDUSTRIAL;0;3;1;2;5;4;;
;;X;COMUNICACIONES ÓPTICAS;0;3;1;2;5;4;;
;10;X;AUTOMATIZACIÓN INDUSTRIAL;0;3;1;2;5;4;;
;;X;COMUNICACIONES INALÁMBRICAS;0;3;1;2;5;4;;
;;X;TECNOLOGÍAS AVANZADAS DE TELECOMUNICACIONES;0;3;1;2;5;4;;
;;X;SISTEMAS DE MICROONDAS Y SATÉLITES;0;3;1;2;5;4;;
;;X;SISTEMAS DE CONTROL INTELIGENTE;0;3;1;2;5;4;;
;;X;ACTUADORES Y ACCIONAMIENTOS II;0;3;1;2;5;4;;
;10;X;REDES INDUSTRIALES;0;3;1;2;5;4;;
;10;X;TRABAJO DE INVESTIGACIÓN;;1;1;2;3;2;;
